20F30A0	020130A0	bdan_sceneCutsceneData_0130A0
20F5600	02015600	gJabuJabuIntroCs
204EF80	02014F80	gDcOpeningCs
35351B0	020001B0	ganon_demo_sceneCutsceneData_0001B0
2CE9640	02002640	gRainbowBridgeCs
2CEB280	02004280	gGanonsCastleIntroCs
26BDEE0	02019EE0	gForestTrialSageCs
26BE8E0	0201A8E0	gWaterTrialSageCs
26BF2B0	0201B2B0	gShadowTrialSageCs
26BFC80	0201BC80	gFireTrialSageCs
26C06B0	0201C6B0	gLightTrialSageCs
26C1080	0201D080	gSpiritTrialSageCs
26C1A50	0201DA50	gTowerBarrierCs
26C1F90	0201DF90	gLightBarrierCs
26C23E0	0201E3E0	gFireBarrierCs
26C2790	0201E790	gForestBarrierCs
26C2B40	0201EB40	gSpiritBarrierCs
26C2F70	0201EF70	gWaterBarrierCs
26C5380	02021380	gShadowBarrierCs
25CC330	02000330	gIceCavernSerenadeCs
31A6BB0	02002BB0	gSpiritBossNabooruKnuckleIntroCs
31A7F80	02003F80	gSpiritBossNabooruKnuckleDefeatCs
31A9850	02005850	jyasinboss_sceneCutsceneData_005850
1FCD650	0200B650	gDekuTreeIntroCs
2F44130	02000130	gGreatFairyMagicCs
2F453E0	020013E0	gGreatFairyDoubleMagicCs
2F465D0	020025D0	gGreatFairyDoubleDefenseCs
32A9080	0200E080	gSongOfStormsCs
2B0C120	02000120	kenjyanoma_sceneCutsceneData_000120
2B0D2A0	020012A0	kenjyanoma_sceneCutsceneData_0012A0
2B0D690	02001690	kenjyanoma_sceneCutsceneData_001690
2B61040	02001040	link_home_sceneCutsceneData_001040
2B615D0	020015D0	link_home_sceneCutsceneData_0015D0
30D9104	02000104	gZeldasCourtyardGanonCs
30D9444	02000444	gZeldasCourtyardWindowCs
30DAC04	02001C04	nakaniwa_sceneCutsceneData_001C04
30DB524	02002524	gZeldasCourtyardLullabyCs
30DC4B0	020034B0	nakaniwa_sceneCutsceneData_0034B0
30DC994	02003994	gZeldasCourtyardMeetCs
2C8B450	02001450	syatekijyou_sceneCutsceneData_001450
2C8B640	02001640	syatekijyou_sceneCutsceneData_001640
2C8B830	02001830	syatekijyou_sceneCutsceneData_001830
2B27330	02003330	tokinoma_sceneCutsceneData_003330
2B275D0	020035D0	tokinoma_sceneCutsceneData_0035D0
2B278C0	020038C0	tokinoma_sceneCutsceneData_0038C0
2B27BB0	02003BB0	tokinoma_sceneCutsceneData_003BB0
2B286F0	020046F0	gTempleOfTimeFirstAdultCs
2B2A1C0	020061C0	tokinoma_sceneCutsceneData_0061C0
2B2AD20	02006D20	gTempleOfTimePreludeCs
2B2C4E0	020084E0	tokinoma_sceneCutsceneData_0084E0
2B2CBC0	02008BC0	tokinoma_sceneCutsceneData_008BC0
2B2DF70	02009F70	tokinoma_sceneCutsceneData_009F70
2B2FE90	0200BE90	tokinoma_sceneCutsceneData_00BE90
2B30E00	0200CE00	gTempleOfTimeIntroCs
2F6D160	02000160	gGreatFairyFaroresWindCs
2F6E020	02001020	gGreatFairyDinsFireCs
2F6EF40	02001F40	gGreatFairyNayrusLoveCs
34654A0	020024A0	gSunSongGraveSunSongTeachCs
34658E0	020028E0	gSunSongGraveSunSongTeachPart2Cs
2E63100	02000100	hiral_demo_sceneCutsceneData_000100
2E63E50	02000E50	hiral_demo_sceneCutsceneData_000E50
2E64260	02001260	hiral_demo_sceneCutsceneData_001260
2E64A60	02001A60	hiral_demo_sceneCutsceneData_001A60
2E64F00	02001F00	hiral_demo_sceneCutsceneData_001F00
2E65310	02002310	hiral_demo_sceneCutsceneData_002310
2E65490	02002490	hiral_demo_sceneCutsceneData_002490
2E65890	02002890	hiral_demo_sceneCutsceneData_002890
2E65FE0	02002FE0	hiral_demo_sceneCutsceneData_002FE0
27DE494	02008494	spot00_sceneCutsceneData_008494
27E0000	0200A000	spot00_sceneCutsceneData_00A000
27E0920	0200A920	spot00_sceneCutsceneData_00A920
27E1B80	0200BB80	gHyruleFieldGetOoTCs
27E1F40	0200BF40	spot00_sceneCutsceneData_00BF40
27E2120	0200C120	spot00_sceneCutsceneData_00C120
27E28C0	0200C8C0	spot00_sceneCutsceneData_00C8C0
27E3CB0	0200DCB0	spot00_sceneCutsceneData_00DCB0
27E5870	0200F870	gHyruleFieldZeldaSongOfTimeCs
27E59E0	0200F9E0	gHyruleFieldSouthEponaJumpCs
27E5F00	0200FF00	gHyruleFieldEastEponaJumpCs
27E6550	02010550	gHyruleFieldWestEponaJumpCs
